id	prediction	reference	chrfpp_sentence
0	Chan míis ku weenel yóok'ol u cama.	Juntúul miis ku weenel	41.0337
1	"Le lela' junp'éel ju'un u k'aaba' ""Diccionario de uso del Maya Yucateco"" beyxan junp'éel carta ti' junp'éel universidad."	Junp'éel áanalte' ich maaya t'aan.	18.8080
2	Óoxp'éel máako'ob táan u xooko'ob yéetel laptop.	Oxtúul máak tu táan junp'éel computadora.	20.4209
3	Junp'éel éek' lúuch yaan u yóok'ol junp'éel che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	23.6214
4	Ya'ab k'áax ku jóok'ol u buuts' tu lu'umil.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	16.5438
5	Junp'éel plástico botella yaan u t'aab azul, tu tséel junp'éel persiana de metal.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	16.5023
6	Juntúul máak yéetel boox nook' wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	25.9503
7	Junkúul sakchak lool yaan tu tséel junp'éel koot, tu paachile' yaan tikin su'uk, tu tséelile' yaan junp'éel xa'an.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	23.5466
8	Juntúul boox k'áanan táan u máan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	11.2227
9	Junp'éel k'ab ku machik junp'éel sakchak lool, tu paachile' yaan xa'ano'ob yéetel azul le ka'analo'.	Le lela' jump'eel sakchak' lol.	26.6277
10	Junkúul xa'an jach ka'anal u wíib, tu tséelile' yaan junp'éel poste.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	14.7895
11	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach su'uk, yéetel che'ob, táanile' yaan jump'éel bej.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	34.4393
12	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'óot.	Junkúul k'áax yaan u loolo'ob de sakchak.	34.9477
13	Junp'éel k'an naj yéetel rejas tu jool najo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	42.9668
14	Junkúul ya'ax ki'i yaan u loolo'ob tu k'ab, paachile' ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	33.3054
15	Junkúul puut yaan u yich, ya'ax u lool, yaan xan u le'ob, paachile' ya'akach che'ob yéetel yaan muñal.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	38.1765
16	Junkúul ch'ojchak lool yaan tu tséel ya'ax che'ob.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	28.9954
17	Juntúul sak kaax ku janal yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	43.8185
18	Úuchben che' kulukbal tu tséel pak' yéetel u boonil chak, tu táanil yaan junp'éel jool naj yéetel reja.	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	33.5727
19	Junkúul nojoch che' yaan u le' ya'ax, paachile' yaan xa'an yéetel ya'akach che'ob.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	30.6038
20	Junp'éel naj beeta'an yéetel che' yéetel u yóok'ol le' che'o', yaan xan junp'éel lona azul tu yóok'ol, tu tséelile' yaan junp'éel nojoch che'.	Junp'éel u naj k'áax beyxan yaan tu táanil junkúl che'.	29.5861
21	Juntúul ko'olel yéetel sak nook' yaan u loolo'ob, táan u wa'atal tu tséel junp'éel k'áax.	Nojoch máak yéetel u huipil de flores jejeláas bonilo'ob, wa'akbal tu tsel U pak'alo'ob.	23.2756
22	Ichil junp'éel naj beeta'an yéetel che' yéetel k'a'an, yaan junp'éel k'áak' tu'ux ku ch'a'abal k'áak' yéetel k'áak'o'ob.	Chi' k'aak' yettel nixtamal ti naaj.	16.6366
23	Nojoch k'áak' yéetel k'áax tu'ux ku ch'uyukbal junp'éel nojoch k'áab.	Ki'iwaj ku lo'kansaj	9.2668
24	Juntúul máak kulukbal tu táan junp'éel chak meex, táan u jantik empanada, paachile' yáan junp'éel koot.	Jump'éel naj tu'ux ku ts'áajal polcanes, yáan nu'ukulo'ob yook'ol mesa, yéetel jump'éel ollia paachil juntúul máak ku k'aaxik jump'éel bolsaa.	23.7292
25	Juntúul miis kulukbal tu jool naj, tu paachile' yaan ya'akach che'ob.	Jump'éel xa'anil naj tu'uxan juntúul chan míis p'ukukbal chumuk, paachile' sáasil yéetel k'íin, yáan ya'akach kúul che'ob ku wilk'ajab, yéetel xane´muñalo'ob ku mano'ob.	21.4176
26	Juntúul ko'olel táan u líik'sik u janale' tu tséel yaan ya'abach p'aak'alo'ob.	Máak ku tsiktik kaax yeetel ku patikk tamali'	13.3478
27	Junp'éel pak' tuunich yaan tu tséel ya'abach che'ob, sáasil k'íin ku jultik.	Jump'éel solar tu'ux yáan ya'akach kúul che'ob tu pachil, táanile' yáan xiimo'ob ts'u jolo'ochtalo'ob, yóok'ole' yáan bu'ul ku t'i'it'pajal, taanile' yaan jump'éel koot chowak.	14.9505
28	Winik ku xíimbal ich k'áax.	Winik ku xiimbal ti k'aax.	44.0654
29	Junp'éel melón yaan u boonil ya'ax yéetel sak, ti' yaan ichil tuunich yéetel k'áax.	K'uum ku kajal u tak'antaj yook'ol boox lu'um, tu ba'asche' yáan ya'akach tunicho'ob yéetel k'áaxo'ob.	21.8768
30	Tikin ixi'im ku xiimbal tu tséel le bejo', paachile' juntúul máak ku xiimbal.	Winik wa'akbal yáanal ya'akach che'ob, táanile' óoxp'el kul xiim, yéetel kaanle' azul mina'an muñal ku wilk'ajab.	14.6102
31	Junp'éel joch' k'áax yaan u le' tikin, ch'uyukbal tu k'ab junp'éel che', tu paachile' ya'ax k'áax yéetel azul le ka'analo'.	Xiim ts'ok u jaantal tumen ba'alche'ob, paachile' ya'akach che'ob ya'axtako'ob, mina'an muñal ku man ka'anal.	27.2843
32	Junp'éel k'ab che' ya'ax u le' yéetel u k'u ch'íich' ti' yaan yáanal le sáasilo'.	Sáasil k'íin ku jultik jump'éel chan nido chan ch'iich ch'uyukbal tu kul k'i'ixil che', azul le ka'analo'.	19.2155
33	Ya'ab máako'ob ku máano'ob ichil junp'éel iglesia, paachile' yaan junp'éel bandera mexicana.	U noj najil ku' tuux much'ukbal ya'akach winiko'ob, táanile' jump'éel nok' u bonilo'obe' yáax, sak, yéetel chak, chúumuke' ch'uyukbal banderrillas jejeláas bonilo'ob.	16.2251
34	Junp'éel tunich yaan óoxp'éel u jool, yóok'ol junp'éel boox nu'ukul, tu tséelile' yaan junp'éel chak' jool naj.	Kiiwaj maka'an yettel block.	10.5287
35	Winik ku k'axik junkúul che' yéetel suum.	Winik ku k'aaxik u si' yeetel aak'.	38.7403
36	Ichil jump'éel naj yéetel u yóok'ol de xa'an, ya'ab máako'ob ku p'ukukbal yook'ol lu'um, ka'atúul peek'o'ob ku p'atik u yich tu paachil, yáan xan ya'akach che'ob yéetel jump'éel naj u yóok'ole' de lamina.	Peek'o'b walakbalo'ob jool naj, ichil le najo' yáan wíiniko'ob kulukbalo'ob, paachile' yáan che'ob yéetel jump'éel naj.	39.4101
37	Juntúul boox peek' ku weenel yook'ol bej, tu tséelile' jump'éel koot tuunich yéetel ya'ax k'áax, paachile' jump'éel sak naj yéetel u yóok'ol azul.	Chan peek' chilikbaj yook'ol carretera, paachile' yáan ya'akach che'ob yéetel jump'éel chowak koot, tu taamile' yáan jump'éel sak naj.	41.6225
38	Junp'éel naj beeta'an yéetel che' yéetel su'uk, yaan junp'éel bicicleta tu tséel, yéetel ya'abach kúul che'ob tu paach.	Bicicleta najkunsa' tseel úuchben xa'aninaj.	22.0298
39	Juntúul ch'íich' yaan yóok'ol junp'éel che', tu tséelile' yaan junp'éel nu'ukul, paachile' yaan koot.	Baach u mot'mubal tu weenel tu tsel apagador ichil naj.	16.5969
40	Juntúul boox yéetel sak miis wa'akbal yóok'ol junp'éel naj, tu paachile' yáan ya'akach che'ob, yéetel junp'éel naj.	Chan míis ku máan yook'ol lamina, yóok'ole' junkúul che', tu tséelile' jump'éel cubeta ch'uyukbal, paachile' jump'éel naj u yóok'ole' de lamina.	27.1853
41	Máak ku ts'a'abal bu'ul ti' junp'éel nu'ukul.	Juntúul máak ku xiixtik sak ibo'ob.	16.2643
42	Juntúul k'an míis ku weenel yóok'ol junp'éel koot tuunich, tu táanil junp'éel úuchben k'áanche'.	Le miiso' te chilikbal yookol le pak'il le najo'.	13.2688
43	Junp'éel camión yaan tu tséel junp'éel naj, yéetel junp'éel chak k'áanche', paachile' ya'akach che'ob, mina'an muñal ku man ka'anal.	Tu tséel le sakchak najo', yaan  junpeel sak kisbuuts' yéetel junkúl xa'an.	28.2838
44	Junkúul che' mina'an u le' yaan tu tséel junp'éel torre, paachile' yaan ya'akach xa'ano'ob.	Le che'o' mina'an u le', ba'ale' ya'ab u yich tu tséele' yaan junkuul xa'an.	43.2169
45	Junkúul che' mina'an u le', ba'ale' yaan u yich, tu paachile' yaan ka'an yéetel sak muñalo'ob.	Le sakpakalo'obo' ti'  yano'ob tu k'ab le che'o', le cheo' ya'ab u yich.	26.5616
46	Juntúul boox pepen yaan u chak boonil, chilikbal tu k'ab junkúul che', yóok'ole' azul le ka'analo'.	Le boox péepen ti' yaan tu k'ab le che'o'.	31.6828
47	Juntúul sak t'eel yéetel juntúul boox kaax ku máano'ob yóok'ol tikin le'ob.	Juntúul sak kaax yéetel juntúul book kaax ti ya'ano'ob yaanal le che'o'.	46.4027
48	Jump'éel boonil máak ku ts'íibtik yook'ol tunich.	Te boona' ya'an juntúul ch'uup ku yiik biix u taabal le k'áako'.	14.0900
49	Junkúul che' yaan u loolo'ob de sakchak tu tséel junp'éel carretera.	Junkúul sakchak lool yaan yookol le bejo'.	32.8587
